question,expected_ans,article_id,matched_articles,predicted_ans,reason,pass_fail,brand,ans_exp_1,matched_articles_new
How to reinstate policy if cancelled mid-term?,"If policy is cancelled mid-term: insured has 10 days to reinstate without a lapse
insured has an additional 10 days to reinstate with a lapse (reinstatement fee will apply)
See the cancel invoice for the dates and details",kaD4T000000XmdlUAC,"kaD4T0000004N2iUAE,kaD4T0000008V52UAE,kaD4T0000009deUUAQ,kaD4T0000008nheUAA,kaD4T0000008YpEUAU"," To reinstate a policy that has been cancelled mid-term, you will need to contact your insurance company as soon as possible. 
They will be able to walk you through the process and let you know what documentation and information you will need to provide. 
In general, you will need to pay the full amount of the premium that was due at the time of cancellation, as well as any late fees or other charges that may have been incurred. 
You may also need to provide proof of insurability, such as a new driver's license or a medical exam. 
Once you have provided all of the required information and paid the necessary fees, your policy will be reinstated and you will be covered again.
",This answer appears to have come from the internet and not the knowledge content,pass,Farmers Specialty Auto,"**Reinstatement after a Mid-Term Cancellation for Non-Payment**

- The insured has up to 11 calendar days to reinstate a policy canceled mid-term for non-payment.
- For example, a policy canceled on April 1, 2021, would have until April 11, 2021, to make payment to reinstate with a lapse.",kaD4T0000008nheUAA
How do I stop pay a refund check?,"1.	Review When would a refund check be voided?
2.	Verify that the check has not been cashed.  See How to Check the Status of a Refund Check
	Refund was cashed:  It cannot be voided. 
	Refund was not cashed:  Proceed to step 3
3.	For a reissue:
	Verify that it has been 10 business days since issued and the insured still has not received it.
4.	Advise the caller not to cash the original if received and document the policy
	Document the SR rather than the Void/Stop Form
	Note:  This documentation is required even when the insured states the check is damaged, was not received, or lost.  
5.	Complete BW Void/Stop Payment Request form in SRM.  Note:  If there are multiple checks to be voided, one void/stop form is sufficient.  Document the additional check numbers in the Other Special Instructions section.
	Choose ""Returned Premium- Re-Apply"" to reapply refund to policy
o	If the policy is to be reinstated due to accepting a payment less than what was required, document the request or follow up on the policy to verity it has been reinstated.
	Choose ""Returned Premium-  Re-Issue"" to reissue and enter correct address to send to.
	Issuing to a new address:
o	Add diary comment to AS400 with new address
	Address or Name on check is requested to be updated:
o	Confirm in notes it has not already been edited by finance (address/name edits are not always reflected on the Check Number Assigned Screen; but will be in diary comments.)
o	When the refund is issuing the same and the payment needs to be transferred but ""transfer"" cannot be hit to transfer the funds, submit a Void/Stop form.  In the event the refund check number has not generated yet, submit a Billing Action Needed form and Expedite the request. 
	How to Reapply a Same Day Refund to a Policy
	Add special instructions to include confirmation original has not cleared and the insured will be advised not to cash if received.
6.	Add diary comment to include advising not to cash original, that it has been verified as not having cleared
7.	Refer SR
8.	Process can take 1-2 business days
	How long does it take to void and reissue a refund check?
",kaD4T000000Cnw2UAC,"kaD4T000000XhogUAC,kaD4T000000CnsjUAC,kaD4T000000Xif9UAC,kaD4T000000Cnw2UAC,kaD4T000000XfWVUA0"," To stop payment on a refund check, you will need to: 

1. Advise the agent or named insured not to attempt to cash the original check. 
2. Process Void Stop pay request via Mellon Bank. 
3. Process void via AS400. 
4. Diary comment policy: ""Processed Void Stop Pay request to ReIssue refund to NI"". 
5. Save Word document screen shots to shared Z drive: Operations/Accounting Services/Accounting Services/Void check_Stop pay/2Void Stop Pays/Year void stop pays/month void stop pays 
",Both expected and referred article has info for the question,pass,Bristol West,"**How to Process a Refund Void Stop Pay Request**

**Step 1: Create a Word Document**
- Title the document with the current date, ""Void Stop,"" and your initials.

**Step 2: Review Diary Comments and Void Stop Pay Request**
- Ensure at least one comment states the agent or named insured was advised not to cash the original check.
- If not noted, the request cannot be processed.

**Step 3: Process the Void via AS400**
- Take a screenshot and copy it to the Word document before finalizing the AS400 void.

**Step 4: Reapply a Same-Day Refund to a Policy**
- The Diary Comment policy should state: ""Processed Void Stop Pay request to Reapply refund to policy.""

**Step 5: Save Word Document and Screenshots**
- Save the Word document and screenshots to the shared Z drive:
  - Operations/Accounting Services/Accounting Services/Void check_Stop pay/2Void Stop Pays/Year Void Stop Pays/Month Void Stops

**Additional Information:**
- If one of the individuals on the refund check is now deceased, you can stop payment and reissue a refund check payable to both the living person and ""The Estate of"" the deceased person.","kaD4T000000Co6nUAC
kaD4T000000XhogUAC
kaD4T000000CnsjUAC"
What agents are restricted from writing higher limits?,"California:
0403661
0461120
0470914
0493849
0479074
Florida:
0991901
0945204
0910271
0990068
0910246
0910784
0942551
0943945
0940190
0910400
0991344
0990702
0991501
Pennsylvania:
3710226
3792737
3722409
3793445
3722955
3722355
Texas
Currently there are no restricted agents in Texas",kaD4T000000POlbUAG,"kaD4T000000POlbUAG,kaD4T000000Xh5rUAC,kaD4T0000008oCsUAI,kaD4T0000004SnOUAU,kaD4T000000L1qPUAS"," California:
04036610461120047091404938490479074
Florida:
099190109452040910271099006809102460910784094255109439450940190091040009913440990702
0991501
Pennsylvania:
371022637927373722409379344537229553722355
Texas
Currently there are no restricted agents in Texas",Formating needs adjusting but overall ok,pass,Bristol West,"**Agents restricted from writing higher limits:**

**California:**
- 04036610461120047091404938490479074

**Florida:**
- 0991901094520409102710990068091024609107840942551094394509401900910400099134409907020991501

**Pennsylvania:**
- 371022637927373722409379344537229553722355",kaD4T000000POlbUAG
How do I remove a truck from the policy?,"From PSP, 
1.	Endorse policy
	Vehicle(s) & Coverage
2.	Enter effective date
3.	Select Delete Vehicle
4.	Select Rate/Submit
5.	Input DC Comments
	What is a DC Comment?
6.	Submit Endorsement
7.	Document SR and Policy

From AS400 Master Menu
1.	Input 44 next to ""Master Company"" 
2.	Option 1 for Policy Processing
3.	Option 2 for Endorsement
4.	Enter policy number
5.	Enter Effective Date of Change
6.	Type 1 next to 'Policy Level Rating Screen' and press Enter
7.	Notate 'Rate Premium' before change
8.	F12 to return to Policy Processing screen
9.	Type 1 next to Basic Contract Screen to Pend the policy
10.	Enter the first letter of the customer's last name
11.	Enter to Pend policy
12.	Enter Endorsement effective date (choose same date as step 5)
13.	Enter no Endorsement fee
14.	Press F12 Twice
15.	Option 4 for Error Correction
16.	Type 1 next to Vehicle Screen
17.	Type a 4 next to the vehicle you want to delete, enter
18.	Select Y to confirm, enter
19.	F12 to Error Correction
20.	F9 to Rate
21.	Type 1 next to 'Policy Level Rating Screen' and press Enter
22.	Review 'Rate Premium' to verify premium change
23.	F12 to return to Policy Processing screen
24.	Document SR and Policy
25.	Repeat steps 2-18 on any future effective mods
Comments should include:
	Name of Caller
	Year/Make/Model of vehicle removed
	Last 5 digits of the VIN being removed (If there is another vehicle with the same year/make/model)
	Effective date
	Premium changes
	Full Term Premium
	Any payment amounts, refunds, due dates provided
",kaD4T000000TNE4UAO,"kaD4T0000008Uy1UAE,kaD4T000000TNE4UAO,kaD4T0000004ablUAA,kaD4T0000004EK1UAM,kaD4T0000008VjNUAU"," To remove a vehicle from the policy, follow these steps:

1. Log into BWProducers.com
2. Hover over 'Manage my Customers'
3. Hover over 'Policy Search'
4. Select 'Search by Policy'
5. Input policy number and click 'Search'
6. Use drop-down next to Active/Future Effective policy term and select 'Policy Summary'
7. Select 'Endorse Policy'
8. Enter Effective Date
9. Select 'OK'
10. Select 'Vehicle/Coverage'
11. Select 'Delete Vehicle' on appropriate vehicle
12. Select 'Rate Policy'
13. Select 'Continue Endorsement'
14. Select 'Submit Endorsement'",Used article kaD4T000000TNE4UAO to come up with the content.,pass,Farmers Specialty Auto,"To remove a vehicle from the policy:

- Send a signed request to Service Operations or your agent.
- If the caller is an agent, confirm they received a signed insured request to drop the vehicle.
- If the caller is a customer, inform them that a signed request is needed.
- Search the policy and select ""Remove Total Loss Vehicle"" to remove a total loss vehicle.
- Log into BWProducers.com and select ""Delete Vehicle"" on the appropriate vehicle.
- Verify that you have obtained the signed request over the phone or process the change yourself.

Note: You cannot remove a vehicle from a canceled policy.","kaD4T0000008Uy1UAE
kaD4T000000TNE4UAO
kaD4T0000008UTZUA2
kaD4T0000004ablUAA
kaD4T0000008VODUA2"
Is  home owner policy eligible for residence adres change ?,No,kaD1L000000PFBGUA4,"kaD4T000000Xfz3UAC,kaD4T000000Xm12UAC,kaD4T000000TS7YUAW,kaD4T0000008YAVUA2,kaD4T000000XZPCUA4"," Yes, a home owner policy is eligible for residence address change. 
",Multiple articles talking about home policy address change,pass,Farmers,"**Homeowners Policies:**

- Not eligible for a residence address change.
- Must be re-written.

**Renters Policies:**

- Can be updated after the discovery period.

**Moving Out of State:**

- Policy will need to be re-written.","kaD1L000000PFBGUA4
kaD4T000000Xfz3UAC
kaD4T0000008YAVUA2"
Customer received an expired Credit Card Letter,"Approximately 5-6K letters mailed on 10/11.  This was a one-time clean up mailing for all customers who had or have an upcoming credit card expiration.  The company advised in the letter for the customer to disregard the notice if the insured has already provided updated information. Due to data limitations, the company was not able to verify if customers banking information was recently updated. If customer questions why a letter was received, apologize and advise the customer to disregard. 

Going forward, an Expired CC Outbound dialer will notify customers (approximately 1000 a month) that the credit card is about to expire. (If the expiration date is not updated the payment will decline.)

If there are any questions, please contact a Supervisor.",kaD4T000000PL2hUAG,"kaD4T000000PL2hUAG,kaD4T000000PGL5UAO,kaD4T000000PGatUAG,kaD4T000000PGb0UAG,kaD4T000000PG5bUAG"," This was a one-time clean up mailing for all customers who had or have an upcoming credit card expiration. The company advised in the letter for the customer to disregard the notice if the insured has already provided updated information. Due to data limitations, the company was not able to verify if customers banking information was recently updated. If customer questions why a letter was received, apologize and advise the customer to disregard. ",Missed few points but answered the question,partial pass,Farmers HI,"**Expired Credit Card Letters**

- Expired credit card letters are automatically sent to customers with autopay set up for their credit card.
- The letters notify customers that their credit card is about to expire.
- If a customer receives a letter and questions why, apologize and advise them to disregard the letter.",kaD4T000000PL2hUAG
Where can I see if a service charge is being applied?,"The Installment Schedule screen displays the amount due by policy with each future installment in the current term, and how the amount was determined by policy. The schedule only displays future installments and does not include any current amounts or historical data. Working in conjunction with the Transaction Breakdown screen, which presents the current and historical data, these two screens provide a complete picture of the account by showing what has been billed, what is currently due today, and what will bill in the future.

The Installment Schedule displays the future schedule as of today and is subject to changes as account and policy-level changes are made.",kaD4T000000H69QUAS,"kaD4T0000008XjEUAU,kaD4T000000Gyi9UAC,kaD1L000000GtSAUA0,kaD4T000000HJaXUAW,kaD4T000000XaYeUAK"," The Declarations Page will show the Fire Department Service Charge 
and any additional coverages. ",The answer is clear for Fire Dpt Service Changes. There is another article talks about service chargers,partial pass,Commercial,- You can use the Transaction Breakdown screen to see if a service charge is being applied.,kaD4T000000H69QUAS
What is teh MCO for state of New York ?," 41, 42, 46",kaD4T00000008TmUAI,"kaD4T000000TO95UAG,kaD4T00000008TmUAI,kaD4T000000CnsnUAC,kaD4T0000004ZxHUAU,kaD4T000000XiX5UAK"," The MCO for the state of New York is 41.
","Article ""kaD4T00000008TmUAI"" has 3 MCO for state of NY. Answer only listed first MCO",partial pass,Bristol West,"**New York MCO Requirements:**

- The MCO for New York is 41.
- To confirm coverage, the registered owner must be listed as:
  - The primary named insured.
  - An additional named insured in MCO 41/42.
- In MCO 46, the Primary Registered Owner field on the vehicle screen must match the MVF request.","kaD4T000000CnsnUAC
kaD4T000000XiX5UAK"
Can I cancel a Foremost policy by Chat?,Any variations of yes,kaD4T000000XbrhUAC,"kaD4T000000XbrhUAC,kaD4T000000XbiGUAS,kaD4T000000XmLCUA0,kaD4T000000XnffUAC,kaD4T0000009ThgUAE"," Yes, First and Second named insureds or individuals with control, including additional named insureds, POAs and EOEs are allowed to verbally cancel any product in any state (Except Delaware). 
Louisiana Special Process: The state of Louisiana requires a written request to be documented as part of the policy record. 
Delaware Special Process: For Motorcycle and Motor Home policies being cancelled by insured request, Chat cancellations are not acceptable. The insured must complete the Delaware Cancellation Affidavit (Form 8146) in place of a Chat request, and it must be returned to Foremost. 
Washington Special Process: A specific Chat cancellation script is not required, a clear request to cancel a policy can be received without specific formatting or phrasing. 
Chat Cancellations may be done without additional documentation for Property and Casualty Products within 30 of the cancel request date (number of days applies when backdating only). When counting back the days, do not include the current day in the calculation. 
Once the the 30-day time frame has passed, Advocates can still send the Chat cancellation script and collect a Yes answer, but appropriate supporting documents need to be received. 
",Missing several notes and an important bullet point.  ,partial pass,Specialty,"Sure, here's the reformatted answer:

**How to cancel a Foremost policy:**

**Within 30 days of the cancel request date:**

- You can cancel a Property and Casualty policy by chat without additional documentation.
- You can also cancel a policy verbally without additional documentation.

**After 30 days of the cancel request date:**

- You must complete the Delaware Cancellation Affidavit (Form 8146) in place of a chat request.","kaD4T000000XbrhUAC
kaD4T000000XbiGUAS"
How do I  process a rush request for a letter of experience loss history letter?,"Rush Requests: 
1.	Retrieve claims information.
	See How to Look Up Foremost Claims
	Only retrieve claims information back 5 years for property and 3 years for casualty as that is what is utilized in loss history letters
2.	Create loss history letter.
a.	From the 360 View within the SR, click Links.
b.	Under Links click ABL Application.
c.	Choose the appropriate group: 
	For agent policies: Select FL Letter.   
	For direct customers: Select Direct Support.
d.	Click Request View and a dropdown will appear.
e.	In the dropdown choose the appropriate form:
	For agent policies: Choose FL 140A for Loss History with Claims or FL 141A for Loss History without Claims.
	For direct customers (USAA and non-AARP): Choose FISC 3 for Loss History with Claims or FISC 2 for Loss History without Claims.
	For AARP direct customers: Choose one of the forms from AARP 3 through 8.
f.	Fill out all the boxes manually. 
	NOTE: Even for redbox letters, the entire letter must be filled out as the data scraping function only happens for ABLs being sent out by mail using the Submit button
i.	Enter agent name or insured name:  The recipient. 
ii.	Enter mailing address. (Optional if the letter is being faxed or emailed.)
iii.	Enter the insured's name (or declaration name).  Check the declaration page then add the location address as:  'ADDR(-) street address, city only.  ***Note: Do not key in the state & zip.
o	Example: John Smith ADDR-123 got it, Farmers World
o	Note: For Motorcycle & Boat policies, only put the policy number, do not key in a location or the bike/boat information.
iv.	Enter Policy Number.
v.	Enter Company Name. How to Find the Company Name for a Policy
vi.	Enter a Product type.  ***This field is not available on FL 140 or FL140A for Loss History with Claims.
o	Specialty Dwelling
o	Mobile Home
o	Off Road Vehicle
o	Motorcycle
o	Motorhome
o	Travel Trailer
o	Marine
o	Personal Watercraft
vii.	Enter the original inception date of the policy 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
viii.	Enter the Policy Expiration or Cancellation date 
o	***This field is not available on FL 140 or FL 140A for Loss History with Claims
ix.	Enter the time frame in years (one, two, three, four or five).
o	For Property, go back a maximum of five years
o	For Casualty, go back a maximum of three years
o	Round up to whole years.  If the policy has been active six months, use one year.  If one year two months, use two years, etc.
o	Type out the words.  ***Do not use numerals
	Example: one, two, three, four or five. 
x.	Enter claim date (xx/xx/xxxx)
xi.	Enter Loss Type/Amount paid (Enter $0 if zero paid)  Ex: Wind / $123
o	Note:  If a claim has been withdrawn or denied, it would not be a valid claim.  Do not list it on the loss history / letter of experience.
xii.	Enter claims status (Closed, Open etc.)
b.	Click Preview to generate the copy of the letter that can be sent.  It can be sent by fax or saved as a PDF and sent by email in SRM.
i.	Send a copy of the letter to imaging at fax number 616-956-4412 or email to: usw.fic.imagingabp@foremost.com  - (Include the SR# in the subject line, and in the body of the email include the policy number and customer's name).
c.	Note the SR with which letter type was sent and where it was sent.",kaD4T000000PP0WUAW,"kaD4T000000PP0WUAW,kaD4T0000004dp3UAA,kaD4T0000004aBUUAY,kaD4T000000XlSvUAK,kaD4T0000008yjEUAQ"," Rush requests can be processed by transferring the agent to Specialty Service Operations. 
",Answer is correct based on the article it has referred but first article has right information on Rush Request. It could have combined the answers.,partial pass,Specialty,"To process a rush request for a letter of experience loss history letter:

1. Send an email to imaging@foremost.com.
2. In the subject line, include ""Attn: Schedules"" and the policy number.
3. Alternatively, contact Service Operations.","kaD4T000000PP0WUAW
kaD4T0000004dp3UAA"
